Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets
2024-05-06,"Rome, Qualifying",red-clay,"Piros, Zsombor",156,390,"Ajdukovic, Duje",129,500,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [1, 1], [1, 2]]"
2024-05-06,"Rome, Qualifying",red-clay,"Perricard, Giovanni Mpetshi",123,516,"Barrere, Gregoire",115,560,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7]]]","[[0, 1], [0, 2]]"
2024-05-06,"Rome, Qualifying",red-clay,"Gaston, Hugo",96,630,"Alves, Felipe",132,487,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [1, 5], [1, 6]]]","[[0, 1], [1, 1], [1, 2]]"
2024-05-06,"Rome, Qualifying",red-clay,"Vacherot, Valentin",120,529,"Mayot, Harold",130,499,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]"
2024-05-06,"Rome, Qualifying",red-clay,"Kokkinakis, Thanasi",94,647,"Atmane, Terence",137,463,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]"
2024-05-06,"Rome, Qualifying",red-clay,"Schwartzman, Diego S.",142,439,"Ramos Vinolas, Albert",104,595,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [1, 1], [2, 1]]"
2024-05-06,"Rome, Qualifying",red-clay,"Nava, Emilio",124,511,"Muller, Alexandre",109,577,3,"[[[0, 1], [1, 1], [2, 1], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [5, 4], [6, 4]], [[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 5], [1, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[1, 0], [1, 1], [1, 2]]"
2024-05-06,"Rome, Qualifying",red-clay,"Garin, Christian",100,608,"Kukushkin, Mikhail",134,482,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [7, 5]], [[0, 1], [0, 2], [0, 3], [0, 4], [1, 4], [2, 4], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [6, 6], [6, 7]], [[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[1, 0], [1, 1], [1, 2]]"
2024-05-06,"Rome, Qualifying",red-clay,"Kovacevic, Aleksandar",89,668,"Passaro, Francesco",240,248,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]]]","[[0, 1], [0, 2]]"
2024-05-06,"Rome, Qualifying",red-clay,"Moutet, Corentin",83,715,"Dzumhur, Damir",131,499,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1]], [[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]"
