Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets,Player1_Aces,Player1_BreakpointsWon,Player1_DoubleFaults,Player1_FirstServePointsWon,Player1_FirstServeSuccessful,Player1_MaxPointsInARow,Player1_PointsWon,Player1_SecondServePointsWon,Player1_SecondServeSuccessful,Player1_ServiceGamesWon,Player1_ServicePointsLost,Player1_ServicePointsWon,Player1_TiebreaksWon,Player1_TotalBreakpoints,Player1_GamesWon,Player1_MaxGamesInARow,Player2_Aces,Player2_BreakpointsWon,Player2_DoubleFaults,Player2_FirstServePointsWon,Player2_FirstServeSuccessful,Player2_MaxPointsInARow,Player2_PointsWon,Player2_SecondServePointsWon,Player2_SecondServeSuccessful,Player2_ServiceGamesWon,Player2_ServicePointsLost,Player2_ServicePointsWon,Player2_TiebreaksWon,Player2_TotalBreakpoints,Player2_GamesWon,Player2_MaxGamesInARow
2024-05-12,Rome,red-clay,"Passaro, Francesco",240,248,"Borges, Nuno",53,931,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]]]","[[1, 0], [1, 1], [1, 2]]",12,2,5,57,75,8,116,28,51,16,46,85,0,6,18,3,9,1,3,52,64,9,126,28,44,15,31,80,2,7,18,3
2024-05-12,Rome,red-clay,"Thiago, Monteiro",106,590,"Kecmanovic, Miomir",58,850,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[1, 0], [1, 1], [2, 1]]",5,3,2,51,63,8,100,14,29,13,29,65,1,4,17,4,4,2,4,45,63,4,86,12,25,12,35,57,0,8,14,2
2024-05-12,Rome,red-clay,"Cerundolo, Francisco",22,1870,"Khachanov, Karen",18,2000,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]], [[1, 0], [2, 0], [3, 0], [3, 1], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]",0,1,2,22,44,5,53,10,16,5,30,32,0,3,6,3,2,4,0,30,43,7,67,7,15,8,21,37,0,6,12,5
2024-05-12,Rome,red-clay,"Atmane, Terence",137,463,"Dimitrov, Grigor",10,3605,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]",6,1,5,29,40,7,62,14,26,8,28,43,0,1,9,3,5,2,5,30,38,7,75,17,23,10,19,47,1,4,13,3
2024-05-12,Rome,red-clay,"Djokovic, Novak",1,9990,"Tabilo, Alejandro",32,1320,3,"[[[0, 1], [0, 2], [0, 3], [0, 4], [1, 4], [1, 5], [2, 5], [2, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]",8,0,5,19,27,5,40,11,20,5,22,30,0,0,5,1,4,4,0,23,30,5,54,9,12,8,10,32,0,7,12,4
2024-05-12,Rome,red-clay,"Fritz, Taylor",13,2870,"Korda, Sebastian",27,1525,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",8,2,1,27,30,11,61,13,19,10,10,40,0,5,12,3,5,0,1,20,32,5,42,12,20,7,21,32,0,0,7,1
2024-05-12,Rome,red-clay,"Zverev, Alexander",5,5435,"Darderi, Luciano",54,918,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",12,2,1,41,49,7,70,8,17,10,18,49,1,4,13,3,4,0,1,25,34,5,57,14,25,8,21,39,0,1,8,1
2024-05-12,Rome,red-clay,"Shelton, Ben",14,2460,"Zhang, Zhizhen",56,868,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]",4,0,6,23,33,4,44,8,13,6,21,31,0,2,6,1,2,3,1,20,27,5,59,18,23,9,13,38,0,8,12,5
2024-05-11,Rome,red-clay,"Arnaldi, Matteo",37,1160,"Jarry, Nicolas",24,1675,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]",3,1,5,28,39,5,65,15,31,7,32,43,0,5,8,2,5,3,2,34,43,9,82,16,27,9,22,50,1,10,13,5
2024-05-11,Rome,red-clay,"Wild, Thiago Seyboth",61,839,"Etcheverry, T. Martin",28,1460,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]], [[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7]]]","[[0, 1], [0, 2]]",1,2,2,21,38,5,55,17,31,6,33,38,0,4,8,3,5,5,0,19,32,7,70,18,22,8,17,37,0,15,13,6
