rank,name,points,bestPoints,RankingDate
48,Alejandro Davidovich Fokina,1925,1998,11-01-2022
49,Jo Wilfried Tsonga,1924,2244,11-01-2022
50,Jenson Brooksby,1920,1984,11-01-2022
51,Marcos Giron,1917,1934,11-01-2022
52,Alexander Bublik,1915,1968,11-01-2022
53,Fabio Fognini,1914,2112,11-01-2022
54,Botic Van De Zandschulp,1912,1998,11-01-2022
55,Jan Lennard Struff,1909,2037,11-01-2022
56,David Goffin,1906,2165,11-01-2022
57,Filip Krajinovic,1894,2033,11-01-2022
58,Aljaz Bedene,1892,1939,11-01-2022
59,Brandon Nakashima,1892,1958,11-01-2022
60,Hugo Gaston,1890,1891,11-01-2022
61,Richard Gasquet,1886,2196,11-01-2022
62,Dominik Koepfer,1886,1920,11-01-2022
63,Jack Sock,1884,2144,11-01-2022
64,Mackenzie Mcdonald,1883,1944,11-01-2022
65,Vasek Pospisil,1881,1987,11-01-2022
66,Maxime Cressy,1881,1928,11-01-2022
67,Emil Ruusuvuori,1880,1963,11-01-2022
68,Soon Woo Kwon,1880,1929,11-01-2022
69,Pedro Martinez Portero,1879,1926,11-01-2022
70,Philipp Kohlschreiber,1872,2117,11-01-2022
71,Mikael Ymer,1868,1938,11-01-2022
72,Alexei Popyrin,1867,1916,11-01-2022
73,Peter Gojowczyk,1860,1935,11-01-2022
74,Jordan Thompson,1859,1908,11-01-2022
75,James Duckworth,1859,1887,11-01-2022
76,Steve Johnson,1857,2042,11-01-2022
77,Albert Ramos,1857,2014,11-01-2022
78,Sam Querrey,1854,2068,11-01-2022
79,John Millman,1854,1954,11-01-2022
80,Laslo Djere,1854,1945,11-01-2022
81,Pierre Hugues Herbert,1851,1989,11-01-2022
82,Guido Pella,1844,2009,11-01-2022
83,Oscar Otte,1842,1917,11-01-2022
84,Fernando Verdasco,1840,2204,11-01-2022
85,Egor Gerasimov,1840,1932,11-01-2022
86,Thanasi Kokkinakis,1839,1914,11-01-2022
87,Corentin Moutet,1838,1921,11-01-2022
88,Lucas Pouille,1838,2069,11-01-2022
89,Arthur Rinderknech,1837,1909,11-01-2022
90,Ricardas Berankis,1837,1914,11-01-2022
91,Henri Laaksonen,1837,1852,11-01-2022
92,Adrian Mannarino,1836,2004,11-01-2022
93,Lorenzo Musetti,1835,1999,11-01-2022
94,Pablo Andujar,1834,1929,11-01-2022
95,Daniel Elahi Galan Riveros,1832,1871,11-01-2022
96,Alex Bolt,1826,1846,11-01-2022
97,Federico Delbonis,1825,1953,11-01-2022
98,Robin Haase,1825,1946,11-01-2022
99,Roberto Carballes Baena,1820,1886,11-01-2022
100,Denis Kudla,1820,1855,11-01-2022
101,Nicolas Jarry,1817,1992,11-01-2022
102,Alex Molcan,1817,1941,11-01-2022
103,Tennys Sandgren,1816,1940,11-01-2022
104,Pablo Cuevas,1813,2004,11-01-2022
105,Daniel Altmaier,1812,1826,11-01-2022
106,Yoshihito Nishioka,1811,1977,11-01-2022
107,Dusan Lajovic,1808,1962,11-01-2022
108,Juan Manuel Cerundolo,1807,1807,11-01-2022
109,Matthew Ebden,1805,1913,11-01-2022
110,Yannick Hanfmann,1803,1920,11-01-2022
111,Tallon Griekspoor,1801,1961,11-01-2022
112,Marco Cecchinato,1799,1953,11-01-2022
113,Feliciano Lopez,1797,2074,11-01-2022
114,Ernesto Escobedo,1793,1815,11-01-2022
115,Sebastian Ofner,1792,1871,11-01-2022
116,Viktor Troicki,1792,2091,11-01-2022
117,Gilles Simon,1790,2124,11-01-2022
118,Benoit Paire,1785,2003,11-01-2022
119,Federico Coria,1785,1839,11-01-2022
120,Damir Dzumhur,1783,1994,11-01-2022
121,Andreas Seppi,1781,2030,11-01-2022
122,Gianluca Mager,1780,1817,11-01-2022
123,Miomir Kecmanovic,1778,1977,11-01-2022
124,Liam Broady,1778,1822,11-01-2022
125,Thiago Monteiro,1778,1846,11-01-2022
126,Max Purcell,1775,1834,11-01-2022
127,Jurij Rodionov,1774,1790,11-01-2022
128,Sergiy Stakhovsky,1774,1947,11-01-2022
129,Jiri Vesely,1773,1952,11-01-2022
130,Facundo Bagnis,1772,1804,11-01-2022
131,Mikhail Kukushkin,1771,1943,11-01-2022
132,Ivo Karlovic,1770,2061,11-01-2022
133,Norbert Gombos,1767,1837,11-01-2022
134,Bjorn Fratangelo,1766,1825,11-01-2022
135,Andrej Martin,1766,1850,11-01-2022
136,Alejandro Tabilo,1761,1834,11-01-2022
137,Jaume Munar,1760,1866,11-01-2022
138,Kamil Majchrzak,1759,1810,11-01-2022
139,Cedrik Marcel Stebe,1758,1834,11-01-2022
140,Antonie Hoang,1758,1830,11-01-2022
141,Carlos Taberner,1755,1796,11-01-2022
142,Malek Jaziri,1754,1922,11-01-2022
143,Borna Gojo,1754,1856,11-01-2022
144,Roman Safiullin,1753,1940,11-01-2022
145,Taro Daniel,1752,1882,11-01-2022
146,Radu Albot,1748,1936,11-01-2022
147,Gregoire Barrere,1744,1873,11-01-2022
148,Michael Mmoh,1743,1866,11-01-2022
149,Thomas Fabbiano,1743,1840,11-01-2022
150,Mario Vilella Martinez,1740,1741,11-01-2022
151,Marco Trungelliti,1736,1794,11-01-2022
152,Elias Ymer,1736,1817,11-01-2022
153,Jozef Kovalik,1735,1806,11-01-2022
154,Nikola Milojevic,1733,1736,11-01-2022
155,Illya Marchenko,1731,1865,11-01-2022
156,Juan Pablo Varillas Patino Samudio,1730,1845,11-01-2022
157,Stefano Travaglia,1728,1879,11-01-2022
158,Yuichi Sugita,1726,1933,11-01-2022
159,Christopher Oconnell,1725,1854,11-01-2022
160,Bernabe Zapata Miralles,1723,1876,11-01-2022
161,Dimitar Kuzmanov,1723,1733,11-01-2022
162,Holger Vitus Nodskov Rune,1722,2146,11-01-2022
163,Thiago Seyboth Wild,1721,1804,11-01-2022
164,Christian Harrison,1720,1729,11-01-2022
165,Roberto Quiroz,1719,1749,11-01-2022
166,Dennis Novak,1718,1802,11-01-2022
167,Hugo Dellien,1714,1781,11-01-2022
168,Maximilian Marterer,1714,1888,11-01-2022
169,Jason Jung,1704,1778,11-01-2022
170,Ramkumar Ramanathan,1704,1808,11-01-2022
171,Marc Polmans,1704,1739,11-01-2022
172,Evgeny Donskoy,1701,1835,11-01-2022
173,Denis Istomin,1700,1987,11-01-2022
174,Alessandro Giannessi,1697,1776,11-01-2022
175,Altug Celikbilek,1697,1711,11-01-2022
176,Benjamin Bonzi,1689,1893,11-01-2022
177,Sumit Nagal,1688,1706,11-01-2022
178,Nicola Kuhn,1684,1685,11-01-2022
179,Yen Hsun Lu,1683,1922,11-01-2022
180,Emilio Gomez,1681,1744,11-01-2022
181,Salvatore Caruso,1670,1819,11-01-2022
182,Christopher Eubanks,1659,1932,11-01-2022
183,Juan Ignacio Londero,1651,1901,11-01-2022
184,Mikael Torpegaard,1645,1670,11-01-2022
185,Pedro Sousa,1640,1757,11-01-2022
186,Francisco Cerundolo,1630,2014,11-01-2022
187,Yasutaka Uchiyama,1627,1763,11-01-2022
188,Federico Gaio,1627,1634,11-01-2022
189,Viktor Durasovic,1577,1640,11-01-2022
190,Quentin Halys,1575,1844,11-01-2022
191,Joao Sousa,1573,1974,11-01-2022
1,Novak Djokovic,2412,2629,10-01-2022
2,Rafael Nadal,2354,2552,10-01-2022
3,Daniil Medvedev,2304,2316,10-01-2022
4,Alexander Zverev,2294,2303,10-01-2022
5,Roger Federer,2256,2550,10-01-2022
6,Stefanos Tsitsipas,2148,2258,10-01-2022
7,Dominic Thiem,2138,2250,10-01-2022
8,Matteo Berrettini,2131,2173,10-01-2022
9,Casper Ruud,2113,2163,10-01-2022
10,Jannik Sinner,2102,2256,10-01-2022
11,Andrey Rublev,2090,2227,10-01-2022
12,Milos Raonic,2075,2269,10-01-2022
13,Kei Nishikori,2062,2296,10-01-2022
14,Felix Auger Aliassime,2061,2140,10-01-2022
15,Diego Sebastian Schwartzman,2055,2097,10-01-2022
16,Pablo Carreno Busta,2055,2121,10-01-2022
17,Andy Murray,2054,2500,10-01-2022
18,Stan Wawrinka,2047,2291,10-01-2022
19,Hubert Hurkacz,2035,2099,10-01-2022
20,Nick Kyrgios,2031,2176,10-01-2022
21,Gael Monfils,2029,2189,10-01-2022
22,Cameron Norrie,2029,2105,10-01-2022
23,Taylor Fritz,2029,2134,10-01-2022
24,Grigor Dimitrov,2028,2203,10-01-2022
25,Karen Khachanov,2017,2137,10-01-2022
26,Denis Shapovalov,2016,2075,10-01-2022
27,Roberto Bautista Agut,2009,2135,10-01-2022
28,Marin Cilic,2000,2232,10-01-2022
29,John Isner,1996,2147,10-01-2022
30,Kevin Anderson,1992,2181,10-01-2022
31,Frances Tiafoe,1988,2068,10-01-2022
32,Ilya Ivashka,1987,1987,10-01-2022
33,Borna Coric,1986,2102,10-01-2022
34,Carlos Alcaraz Garfia,1986,2344,10-01-2022
35,Daniel Evans,1983,2002,10-01-2022
36,Lloyd George Muirhead Harris,1981,1988,10-01-2022
37,Ugo Humbert,1963,2002,10-01-2022
38,Aslan Karatsev,1960,1998,10-01-2022
39,Alex De Minaur,1959,2083,10-01-2022
40,Tommy Paul,1955,2066,10-01-2022
41,Reilly Opelka,1954,2033,10-01-2022
42,Nikoloz Basilashvili,1954,1990,10-01-2022
43,Sebastian Korda,1953,2071,10-01-2022
44,Lorenzo Sonego,1942,1996,10-01-2022
45,Christian Garin,1934,2010,10-01-2022
46,Jeremy Chardy,1931,2016,10-01-2022
47,Marcos Giron,1929,1934,10-01-2022
48,Marton Fucsovics,1927,2018,10-01-2022
49,Alejandro Davidovich Fokina,1925,1998,10-01-2022
50,Jo Wilfried Tsonga,1924,2244,10-01-2022
51,Jenson Brooksby,1920,1984,10-01-2022
52,David Goffin,1919,2165,10-01-2022
53,Alexander Bublik,1915,1968,10-01-2022
54,Fabio Fognini,1914,2112,10-01-2022
55,Jan Lennard Struff,1909,2037,10-01-2022
56,Botic Van De Zandschulp,1901,1998,10-01-2022
57,Dominik Koepfer,1899,1920,10-01-2022
58,Filip Krajinovic,1894,2033,10-01-2022
59,Aljaz Bedene,1892,1939,10-01-2022
60,Brandon Nakashima,1892,1958,10-01-2022
61,Hugo Gaston,1890,1891,10-01-2022
62,Richard Gasquet,1886,2196,10-01-2022
63,Jack Sock,1884,2144,10-01-2022
64,Mackenzie Mcdonald,1882,1944,10-01-2022
65,Vasek Pospisil,1881,1987,10-01-2022
66,Soon Woo Kwon,1880,1929,10-01-2022
67,Pedro Martinez Portero,1879,1926,10-01-2022
68,Alexei Popyrin,1874,1916,10-01-2022
69,Philipp Kohlschreiber,1872,2117,10-01-2022
70,Peter Gojowczyk,1870,1935,10-01-2022
71,Mikael Ymer,1868,1938,10-01-2022
72,Jordan Thompson,1863,1908,10-01-2022
73,James Duckworth,1859,1887,10-01-2022
74,Steve Johnson,1857,2042,10-01-2022
75,Albert Ramos,1857,2014,10-01-2022
76,Sam Querrey,1854,2068,10-01-2022
77,John Millman,1854,1954,10-01-2022
78,Emil Ruusuvuori,1854,1963,10-01-2022
79,Laslo Djere,1854,1945,10-01-2022
80,Pierre Hugues Herbert,1851,1989,10-01-2022
81,Adrian Mannarino,1845,2004,10-01-2022
82,Guido Pella,1844,2009,10-01-2022
83,Oscar Otte,1842,1917,10-01-2022
84,Henri Laaksonen,1841,1852,10-01-2022
85,Fernando Verdasco,1840,2204,10-01-2022
86,Egor Gerasimov,1840,1932,10-01-2022
87,Thanasi Kokkinakis,1839,1914,10-01-2022
88,Corentin Moutet,1838,1921,10-01-2022
89,Lucas Pouille,1838,2069,10-01-2022
90,Arthur Rinderknech,1837,1909,10-01-2022
91,Lorenzo Musetti,1835,1999,10-01-2022
92,Maxime Cressy,1835,1928,10-01-2022
93,Pablo Andujar,1834,1929,10-01-2022
94,Daniel Elahi Galan Riveros,1832,1871,10-01-2022
95,Alex Bolt,1826,1846,10-01-2022
96,Federico Delbonis,1825,1953,10-01-2022
97,Robin Haase,1825,1946,10-01-2022
98,Ricardas Berankis,1822,1914,10-01-2022
99,Roberto Carballes Baena,1820,1886,10-01-2022
100,Denis Kudla,1820,1855,10-01-2022
101,Nicolas Jarry,1817,1992,10-01-2022
102,Tennys Sandgren,1816,1940,10-01-2022
103,Pablo Cuevas,1813,2004,10-01-2022
104,Daniel Altmaier,1812,1826,10-01-2022
105,Yoshihito Nishioka,1811,1977,10-01-2022
106,Dusan Lajovic,1808,1962,10-01-2022
107,Juan Manuel Cerundolo,1807,1807,10-01-2022
108,Matthew Ebden,1805,1913,10-01-2022
109,Yannick Hanfmann,1803,1920,10-01-2022
110,Marco Cecchinato,1799,1953,10-01-2022
111,Alex Molcan,1799,1941,10-01-2022
112,Benoit Paire,1797,2003,10-01-2022
113,Feliciano Lopez,1797,2074,10-01-2022
114,Andreas Seppi,1794,2030,10-01-2022
115,Ernesto Escobedo,1793,1815,10-01-2022
116,Sebastian Ofner,1792,1871,10-01-2022
117,Viktor Troicki,1792,2091,10-01-2022
118,Gilles Simon,1790,2124,10-01-2022
119,Federico Coria,1785,1839,10-01-2022
120,Damir Dzumhur,1783,1994,10-01-2022
121,Gianluca Mager,1780,1817,10-01-2022
122,Miomir Kecmanovic,1778,1977,10-01-2022
123,Liam Broady,1778,1822,10-01-2022
124,Thiago Monteiro,1778,1846,10-01-2022
125,Max Purcell,1775,1834,10-01-2022
126,Jurij Rodionov,1774,1790,10-01-2022
127,Sergiy Stakhovsky,1774,1947,10-01-2022
128,Jiri Vesely,1773,1952,10-01-2022
129,Mikhail Kukushkin,1771,1943,10-01-2022
130,Ivo Karlovic,1770,2061,10-01-2022
131,Norbert Gombos,1767,1837,10-01-2022
132,Bjorn Fratangelo,1766,1825,10-01-2022
133,Andrej Martin,1766,1850,10-01-2022
134,Tallon Griekspoor,1762,1961,10-01-2022
135,Alejandro Tabilo,1761,1834,10-01-2022
136,Kamil Majchrzak,1759,1810,10-01-2022
137,Cedrik Marcel Stebe,1758,1834,10-01-2022
138,Antonie Hoang,1758,1830,10-01-2022
139,Carlos Taberner,1755,1796,10-01-2022
140,Malek Jaziri,1755,1922,10-01-2022
141,Borna Gojo,1754,1856,10-01-2022
142,Roman Safiullin,1753,1940,10-01-2022
143,Taro Daniel,1752,1882,10-01-2022
144,Facundo Bagnis,1748,1804,10-01-2022
145,Radu Albot,1748,1936,10-01-2022
146,Gregoire Barrere,1744,1873,10-01-2022
147,Michael Mmoh,1743,1866,10-01-2022
148,Thomas Fabbiano,1743,1840,10-01-2022
149,Stefano Travaglia,1740,1879,10-01-2022
150,Mario Vilella Martinez,1740,1741,10-01-2022
151,Christopher Oconnell,1736,1854,10-01-2022
152,Marco Trungelliti,1736,1794,10-01-2022
153,Elias Ymer,1736,1817,10-01-2022
154,Jozef Kovalik,1735,1806,10-01-2022
155,Nikola Milojevic,1733,1736,10-01-2022
156,Illya Marchenko,1731,1865,10-01-2022
157,Juan Pablo Varillas Patino Samudio,1730,1845,10-01-2022
158,Yuichi Sugita,1726,1933,10-01-2022
159,Bernabe Zapata Miralles,1723,1876,10-01-2022
160,Dimitar Kuzmanov,1723,1733,10-01-2022
161,Holger Vitus Nodskov Rune,1722,2146,10-01-2022
162,Thiago Seyboth Wild,1721,1804,10-01-2022
163,Christian Harrison,1720,1729,10-01-2022
164,Roberto Quiroz,1719,1749,10-01-2022
165,Dennis Novak,1718,1802,10-01-2022
166,Jaume Munar,1717,1866,10-01-2022
167,Hugo Dellien,1715,1781,10-01-2022
168,Maximilian Marterer,1714,1888,10-01-2022
169,Jason Jung,1704,1778,10-01-2022
170,Ramkumar Ramanathan,1704,1808,10-01-2022
171,Marc Polmans,1704,1739,10-01-2022
172,Evgeny Donskoy,1701,1835,10-01-2022
173,Denis Istomin,1700,1987,10-01-2022
174,Alessandro Giannessi,1697,1776,10-01-2022
175,Altug Celikbilek,1697,1711,10-01-2022
176,Benjamin Bonzi,1689,1893,10-01-2022
177,Sumit Nagal,1688,1706,10-01-2022
178,Nicola Kuhn,1684,1685,10-01-2022
179,Yen Hsun Lu,1683,1922,10-01-2022
180,Emilio Gomez,1681,1744,10-01-2022
181,Salvatore Caruso,1670,1819,10-01-2022
182,Christopher Eubanks,1659,1932,10-01-2022
183,Juan Ignacio Londero,1651,1901,10-01-2022
184,Mikael Torpegaard,1646,1670,10-01-2022
185,Pedro Sousa,1641,1757,10-01-2022
186,Francisco Cerundolo,1630,2014,10-01-2022
187,Yasutaka Uchiyama,1627,1763,10-01-2022
188,Federico Gaio,1627,1634,10-01-2022
189,Viktor Durasovic,1577,1640,10-01-2022
190,Quentin Halys,1575,1844,10-01-2022
191,Joao Sousa,1573,1974,10-01-2022
1,Novak Djokovic,2454,2629,19-11-2023
2,Carlos Alcaraz Garfia,2281,2344,19-11-2023
3,Jannik Sinner,2256,2256,19-11-2023
4,Rafael Nadal,2248,2552,19-11-2023
5,Daniil Medvedev,2235,2316,19-11-2023
6,Alexander Zverev,2174,2303,19-11-2023
7,Andrey Rublev,2134,2227,19-11-2023
8,Grigor Dimitrov,2133,2203,19-11-2023
9,Hubert Hurkacz,2093,2099,19-11-2023
10,Stefanos Tsitsipas,2091,2258,19-11-2023
11,Holger Vitus Nodskov Rune,2075,2146,19-11-2023
12,Matteo Berrettini,2067,2173,19-11-2023
13,Karen Khachanov,2059,2137,19-11-2023
14,Alex De Minaur,2057,2083,19-11-2023
15,Taylor Fritz,2054,2134,19-11-2023
16,Gael Monfils,2021,2189,19-11-2023
17,Casper Ruud,2019,2163,19-11-2023
18,Marin Cilic,2010,2232,19-11-2023
19,Frances Tiafoe,2009,2068,19-11-2023
20,Tommy Paul,2009,2066,19-11-2023
21,Felix Auger Aliassime,2006,2140,19-11-2023
22,Sebastian Korda,2006,2071,19-11-2023
23,Adrian Mannarino,1992,2004,19-11-2023
24,Ugo Humbert,1990,2002,19-11-2023
25,Nicolas Jarry,1985,1992,19-11-2023
26,Jack Draper,1977,1977,19-11-2023
27,Pablo Carreno Busta,1977,2121,19-11-2023
28,Alejandro Davidovich Fokina,1974,1998,19-11-2023
29,Ben Shelton,1974,1989,19-11-2023
30,Kei Nishikori,1971,2296,19-11-2023
31,Francisco Cerundolo,1963,2014,19-11-2023
32,Milos Raonic,1962,2269,19-11-2023
33,Denis Shapovalov,1959,2075,19-11-2023
34,Cameron Norrie,1952,2105,19-11-2023
35,Lorenzo Musetti,1944,1999,19-11-2023
36,Tallon Griekspoor,1943,1961,19-11-2023
37,Alexander Bublik,1943,1968,19-11-2023
38,Roman Safiullin,1940,1940,19-11-2023
39,Borna Coric,1940,2102,19-11-2023
40,Jenson Brooksby,1938,1984,19-11-2023
41,Andy Murray,1932,2500,19-11-2023
42,Mackenzie Mcdonald,1926,1944,19-11-2023
43,Laslo Djere,1925,1945,19-11-2023
44,Stan Wawrinka,1925,2291,19-11-2023
45,Jan Lennard Struff,1923,2037,19-11-2023
46,Lorenzo Sonego,1921,1996,19-11-2023
47,Marton Fucsovics,1920,2018,19-11-2023
48,Emil Ruusuvuori,1918,1963,19-11-2023
49,Dominic Thiem,1917,2250,19-11-2023
50,Aslan Karatsev,1910,1998,19-11-2023
51,Christian Garin,1907,2010,19-11-2023
52,Roberto Bautista Agut,1905,2135,19-11-2023
53,Yoshihito Nishioka,1904,1977,19-11-2023
54,Sebastian Baez,1902,1944,19-11-2023
55,Jiri Lehecka,1897,1962,19-11-2023
56,Botic Van De Zandschulp,1893,1998,19-11-2023
57,Zhizhen Zhang,1890,1890,19-11-2023
58,Matteo Arnaldi,1889,1889,19-11-2023
59,Daniel Evans,1885,2002,19-11-2023
60,Tomas Martin Etcheverry,1883,1932,19-11-2023
61,Thanasi Kokkinakis,1882,1914,19-11-2023
62,Kevin Anderson,1882,2181,19-11-2023
63,Alex Molcan,1881,1941,19-11-2023
64,Soon Woo Kwon,1880,1929,19-11-2023
65,Arthur Fils,1878,1895,19-11-2023
66,Dominic Stephan Stricker,1873,1873,19-11-2023
67,Sebastian Ofner,1871,1871,19-11-2023
68,Jeffrey John Wolf,1871,1926,19-11-2023
69,Diego Sebastian Schwartzman,1870,2097,19-11-2023
70,Mikael Ymer,1870,1938,19-11-2023
71,Marcos Giron,1869,1934,19-11-2023
72,Michael Mmoh,1865,1866,19-11-2023
73,Christopher Eubanks,1864,1932,19-11-2023
74,John Isner,1862,2147,19-11-2023
75,Dusan Lajovic,1861,1962,19-11-2023
76,Jeremy Chardy,1859,2016,19-11-2023
77,Jordan Thompson,1858,1908,19-11-2023
78,Alexei Popyrin,1857,1916,19-11-2023
79,Borna Gojo,1856,1856,19-11-2023
80,Fabio Fognini,1855,2112,19-11-2023
81,Brandon Nakashima,1853,1958,19-11-2023
82,Ilya Ivashka,1853,1987,19-11-2023
83,Fabian Marozsan,1852,1853,19-11-2023
84,David Goffin,1851,2165,19-11-2023
85,Pavel Kotov,1849,1849,19-11-2023
86,Yannick Hanfmann,1846,1920,19-11-2023
87,Alexander Shevchenko,1841,1841,19-11-2023
88,Yibing Wu,1834,1850,19-11-2023
89,Jack Sock,1833,2144,19-11-2023
90,Pedro Cachin,1830,1870,19-11-2023
91,Filip Krajinovic,1828,2033,19-11-2023
92,Jiri Vesely,1828,1952,19-11-2023
93,Benjamin Bonzi,1825,1893,19-11-2023
94,Lloyd George Muirhead Harris,1824,1988,19-11-2023
95,Rinky Hijikata,1823,1837,19-11-2023
96,Dominik Koepfer,1819,1920,19-11-2023
97,John Millman,1818,1954,19-11-2023
98,Liam Broady,1818,1822,19-11-2023
99,Roberto Carballes Baena,1816,1886,19-11-2023
100,Steve Johnson,1816,2042,19-11-2023
101,Arthur Rinderknech,1815,1909,19-11-2023
102,Christopher Oconnell,1815,1854,19-11-2023
103,Maximilian Marterer,1814,1888,19-11-2023
104,Miomir Kecmanovic,1813,1977,19-11-2023
105,Juan Pablo Varillas Patino Samudio,1813,1845,19-11-2023
106,Quentin Halys,1813,1844,19-11-2023
107,Pierre Hugues Herbert,1812,1989,19-11-2023
108,Gregoire Barrere,1812,1873,19-11-2023
109,Filip Misolic,1812,1828,19-11-2023
110,Alejandro Tabilo,1809,1834,19-11-2023
111,Tim Van Rijthoven,1808,1870,19-11-2023
112,Tomas Machac,1806,1806,19-11-2023
113,Aleksandar Vukic,1800,1828,19-11-2023
114,Jaume Munar,1798,1866,19-11-2023
115,Jason Kubler,1798,1880,19-11-2023
116,Ryan Peniston,1798,1825,19-11-2023
117,Guido Pella,1797,2009,19-11-2023
118,Taro Daniel,1794,1882,19-11-2023
119,Gijs Brouwer,1794,1844,19-11-2023
120,Daniel Altmaier,1792,1826,19-11-2023
121,Juan Manuel Cerundolo,1791,1807,19-11-2023
122,Yosuke Watanuki,1790,1819,19-11-2023
123,Damir Dzumhur,1785,1994,19-11-2023
124,Kyle Edmund,1785,2038,19-11-2023
125,Richard Gasquet,1783,2196,19-11-2023
126,Hugo Gaston,1782,1891,19-11-2023
127,Alex Michelsen,1779,1779,19-11-2023
128,Bernabe Zapata Miralles,1771,1876,19-11-2023
129,Alex Bolt,1771,1846,19-11-2023
130,Albert Ramos,1769,2014,19-11-2023
131,Jurij Rodionov,1767,1790,19-11-2023
132,Max Purcell,1767,1834,19-11-2023
133,Radu Albot,1766,1936,19-11-2023
134,Corentin Moutet,1765,1921,19-11-2023
135,Elias Ymer,1765,1817,19-11-2023
136,Federico Coria,1764,1839,19-11-2023
137,Hamad Medjedovic,1764,1777,19-11-2023
138,Luca Van Assche,1764,1778,19-11-2023
139,Thiago Monteiro,1763,1846,19-11-2023
140,Marco Cecchinato,1757,1953,19-11-2023
141,Maxime Cressy,1756,1928,19-11-2023
142,Andrea Vavassori,1755,1765,19-11-2023
143,Jozef Kovalik,1752,1806,19-11-2023
144,Alexandre Muller,1751,1814,19-11-2023
145,Pablo Andujar,1748,1929,19-11-2023
146,Daniel Elahi Galan Riveros,1747,1871,19-11-2023
147,Denis Kudla,1746,1855,19-11-2023
148,Nikoloz Basilashvili,1745,1990,19-11-2023
149,Shintaro Mochizuki,1738,1738,19-11-2023
150,Thiago Seyboth Wild,1735,1804,19-11-2023
151,Aleksandar Kovacevic,1735,1769,19-11-2023
152,James Duckworth,1734,1887,19-11-2023
153,Oscar Otte,1734,1917,19-11-2023
154,Giulio Zeppieri,1725,1726,19-11-2023
155,Flavio Cobolli,1725,1726,19-11-2023
156,Hugo Grenier,1725,1753,19-11-2023
157,Nuno Borges,1720,1785,19-11-2023
158,Joao Sousa,1718,1974,19-11-2023
159,Mikhail Kukushkin,1710,1943,19-11-2023
160,Feliciano Lopez,1709,2074,19-11-2023
161,Dimitar Kuzmanov,1701,1733,19-11-2023
162,Zsombor Piros,1701,1701,19-11-2023
163,Enzo Couacaud,1700,1700,19-11-2023
164,Pedro Martinez Portero,1699,1926,19-11-2023
165,Juncheng Shang,1697,1734,19-11-2023
166,Guido Andreozzi,1697,1740,19-11-2023
167,Emilio Gomez,1691,1744,19-11-2023
168,Marcelo Tomas Barrios Vera,1689,1704,19-11-2023
169,Fernando Verdasco,1686,2204,19-11-2023
170,Jason Jung,1684,1778,19-11-2023
171,Facundo Bagnis,1683,1804,19-11-2023
172,Constant Lestienne,1676,1833,19-11-2023
173,Cem Ilkel,1672,1672,19-11-2023
174,Francesco Passaro,1670,1671,19-11-2023
175,Emilio Nava,1666,1709,19-11-2023
176,Hugo Dellien,1665,1781,19-11-2023
177,Zizou Bergs,1661,1675,19-11-2023
178,Chun Hsin Tseng,1654,1660,19-11-2023
179,Marc Andrea Huesler,1647,1849,19-11-2023
180,Kimmer Coppejans,1641,1684,19-11-2023
181,Luca Nardi,1589,1619,19-11-2023
182,Benoit Paire,1567,2003,19-11-2023
1,Novak Djokovic,2453,2629,13-11-2023
2,Carlos Alcaraz Garfia,2287,2344,13-11-2023
3,Rafael Nadal,2249,2552,13-11-2023
4,Daniil Medvedev,2239,2316,13-11-2023
5,Jannik Sinner,2221,2256,13-11-2023
6,Andrey Rublev,2161,2227,13-11-2023
7,Alexander Zverev,2156,2303,13-11-2023
8,Grigor Dimitrov,2133,2203,13-11-2023
9,Stefanos Tsitsipas,2110,2258,13-11-2023
10,Hubert Hurkacz,2095,2099,13-11-2023
11,Holger Vitus Nodskov Rune,2072,2146,13-11-2023
12,Matteo Berrettini,2067,2173,13-11-2023
13,Karen Khachanov,2059,2137,13-11-2023
14,Alex De Minaur,2057,2083,13-11-2023
15,Taylor Fritz,2054,2134,13-11-2023
16,Gael Monfils,2021,2189,13-11-2023
17,Casper Ruud,2019,2163,13-11-2023
18,Marin Cilic,2010,2232,13-11-2023
19,Frances Tiafoe,2009,2068,13-11-2023
20,Tommy Paul,2009,2066,13-11-2023
21,Felix Auger Aliassime,2006,2140,13-11-2023
22,Sebastian Korda,2006,2071,13-11-2023
23,Adrian Mannarino,1992,2004,13-11-2023
24,Ugo Humbert,1990,2002,13-11-2023
25,Nicolas Jarry,1985,1992,13-11-2023
26,Pablo Carreno Busta,1977,2121,13-11-2023
27,Jack Draper,1977,1977,13-11-2023
28,Alejandro Davidovich Fokina,1974,1998,13-11-2023
29,Ben Shelton,1974,1989,13-11-2023
30,Kei Nishikori,1971,2296,13-11-2023
31,Francisco Cerundolo,1963,2014,13-11-2023
32,Milos Raonic,1962,2269,13-11-2023
33,Denis Shapovalov,1959,2075,13-11-2023
34,Cameron Norrie,1952,2105,13-11-2023
35,Lorenzo Musetti,1944,1999,13-11-2023
36,Tallon Griekspoor,1943,1961,13-11-2023
37,Alexander Bublik,1943,1968,13-11-2023
38,Roman Safiullin,1940,1940,13-11-2023
39,Borna Coric,1940,2102,13-11-2023
40,Jenson Brooksby,1938,1984,13-11-2023
41,Andy Murray,1932,2500,13-11-2023
42,Mackenzie Mcdonald,1926,1944,13-11-2023
43,Laslo Djere,1925,1945,13-11-2023
